Acct#,DateCum,Sec Long Exposure,Sec Short Exposure,Sec Net Exposure,Margin Adj per Trade,(Adj) Margin Fees,(Adj) Short Sell Interest,(Adj) TD Interest,(EOD) Cash ava Bal,(EOD) Margin Loan Bal,(EOD) AuM = Cash ava + Sec Net Bal,,AuM,Daily Return (%),Geo Metric Rtn,Cumulative Rtns,YTD return,,,,,,,,,,,
Acct#,DateCum,SUM of Sec Long Exposure,SUM of Sec Short Exposure,SUM of Sec Net Exposure,SUM of Margin Adj per Trade,SUM of (Adj) Margin Fees,SUM of (Adj) Short Sell Interest,SUM of (Adj) TD Interest,SUM of (EOD) Cash ava Bal,SUM of (EOD) Margin Loan Bal,SUM of (EOD) AuM = Cash ava + Sec Net Bal,,AuM,Daily Return (%),GeoMetric Rtn,Cumulative Rtns,YTD return,,,,,,,,,,,
 Total,,0,0,0,0,0 ,0 ,0 ,0 ,0 ,0 ,,0 ,,,,,,,,,,,,,,,
D0001,12/31/2021,0,0,0,"500,000",0 ,0 ,0 ,"500,000 ",0 ,"500,000 ",,"500,000 ",,,,,,,,,,,,,,,
D0001,1/1/2022,"51,990",0,"51,990","448,010",0 ,0 ,0 ,"447,610 ",0 ,"499,600 ",,"499,600 ",(0.08%),99.92%,99.92%,,,,,,,,,,,,
D0001,1/2/2022,"121,016","(37,726)","83,291","341,258",0 ,(6),0 ,"416,005 ",0 ,"499,302 ",,"499,302 ",(0.06%),99.94%,99.86%,,,,,,,,,,,,
D0001,1/3/2022,"120,596","(37,730)","82,866","341,674",0 ,(6),0 ,"416,005 ",0 ,"498,878 ",,"498,878 ",(0.09%),99.91%,99.78%,,,,,,,,,,,,
D0001,1/4/2022,"89,442","(37,628)","51,814","372,929",0 ,(6),0 ,"448,547 ",0 ,"500,367 ",,"500,367 ",0.30%,100.30%,100.07%,,,,,,,,,,,,
D0001,1/5/2022,"115,711","(37,184)","78,527","347,106",0 ,(6),0 ,"422,446 ",0 ,"500,979 ",,"500,979 ",0.12%,100.12%,100.20%,,,,,,,,,,,,
D0001,1/6/2022,"209,069","(36,335)","172,734","254,595",0 ,(6),0 ,"324,641 ",0 ,"497,382 ",,"497,382 ",(0.72%),99.28%,99.48%,,,,,,,,,,,,
D0001,1/7/2022,"124,895","(35,622)","89,273","339,483",0 ,(6),0 ,"407,573 ",0 ,"496,853 ",,"496,853 ",(0.11%),99.89%,99.37%,,,,,,,,,,,,
